Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Id,Policy_Name,Customer_ID,Premium_Amt,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Next_Premium_Dt,Actual_Premium_Paid_Dt,Total_Policy_Amt,Premium_Amt_Paid_TillDate,Region
PT005,Home,Home insurance policy,10028,Home Policy 10028,16,15000,Quarterly,2018-01-01,2020-01-01,2019-06-07,2019-05-08,200000,6607.23,EAST
PT001,Auto,Auto insurance policy,10029,Auto Policy 10029,16,15000,Quarterly,2015-07-08,2017-07-07,2016-06-25,2016-05-26,500000,10705.05,EAST
PT004,Health,Health insurance policy,10030,Health Policy 10030,16,10000,Quarterly,2012-12-01,2014-12-01,2013-02-17,2013-01-18,300000,6865.36,EAST
PT003,Term,Term life insurance policy,10031,Term Policy 10031,17,5000,Quarterly,2017-08-23,2019-08-23,2018-06-21,2018-05-22,800000,3023.49,SOUTH
PT005,Home,Home insurance policy,10032,Home Policy 10032,17,10000,Annual,2006-02-27,2011-02-26,2007-05-10,2007-04-10,1000000,6370.22,SOUTH
PT003,Term,Term life insurance policy,10033,Term Policy 10033,17,7500,Monthly,2015-11-16,2016-11-15,2016-02-23,2016-01-24,600000,5970.09,SOUTH
PT003,Term,Term life insurance policy,10034,Term Policy 10034,18,10000,Annual,2007-12-22,2012-12-20,2009-05-04,2009-04-04,400000,3798.69,WEST
PT001,Auto,Auto insurance policy,10035,Auto Policy 10035,18,15000,Monthly,2018-07-18,2019-07-18,2018-12-02,2018-11-02,800000,9921.13,WEST
PT002,WholeLife,Whole life insurance policy,10036,WholeLife Policy 10036,19,7500,Annual,2010-11-11,2015-11-10,2011-04-12,2011-03-13,500000,5696.7,SOUTH
PT001,Auto,Auto insurance policy,10037,Auto Policy 10037,19,7500,Monthly,2012-09-09,2013-09-09,2014-01-02,2013-12-03,600000,2309.29,SOUTH
PT004,Health,Health insurance policy,10038,Health Policy 10038,20,20000,Monthly,2013-08-05,2014-08-05,2014-10-10,2014-09-10,500000,12926.05,EAST
PT002,WholeLife,Whole life insurance policy,10039,WholeLife Policy 10039,20,25000,Annual,2017-12-16,2022-12-15,2018-03-13,2018-02-11,400000,16239.57,EAST
PT001,Auto,Auto insurance policy,10040,Auto Policy 10040,21,12500,Quarterly,2008-10-04,2010-10-04,2009-05-06,2009-04-06,500000,6667.33,WEST
PT002,WholeLife,Whole life insurance policy,10041,WholeLife Policy 10041,22,20000,Annual,2013-07-09,2018-07-08,2014-05-07,2014-04-07,500000,7676.75,SOUTH
PT005,Home,Home insurance policy,10042,Home Policy 10042,22,10000,Monthly,2014-10-02,2015-10-02,2015-07-18,2015-06-18,1000000,4674.03,SOUTH
PT003,Term,Term life insurance policy,10043,Term Policy 10043,22,5000,Annual,2016-11-22,2021-11-21,2018-05-05,2018-04-05,200000,2859.53,SOUTH
PT004,Health,Health insurance policy,10044,Health Policy 10044,23,25000,Annual,2018-09-11,2023-09-10,2019-04-30,2019-03-31,400000,9730.71,WEST
PT001,Auto,Auto insurance policy,10045,Auto Policy 10045,23,15000,Annual,2010-09-23,2015-09-22,2011-07-16,2011-06-16,500000,11118.09,WEST
PT002,WholeLife,Whole life insurance policy,10046,WholeLife Policy 10046,24,25000,Annual,2020-01-27,2025-01-25,2020-12-18,2020-11-18,300000,10904.62,EAST
PT002,WholeLife,Whole life insurance policy,10047,WholeLife Policy 10047,24,5000,Annual,2012-01-11,2017-01-09,2012-03-15,2012-02-14,800000,3910.91,EAST
PT001,Auto,Auto insurance policy,10048,Auto Policy 10048,24,15000,Monthly,2014-03-23,2015-03-23,2015-05-07,2015-04-07,200000,7682.39,EAST
PT003,Term,Term life insurance policy,10049,Term Policy 10049,25,5000,Monthly,2010-08-26,2011-08-26,2011-09-07,2011-08-08,200000,1321.79,WEST
PT002,WholeLife,Whole life insurance policy,10050,WholeLife Policy 10050,26,5000,Annual,2018-06-12,2023-06-11,2018-10-11,2018-09-11,800000,1302.35,EAST
PT005,Home,Home insurance policy,10051,Home Policy 10051,26,20000,Quarterly,2007-12-01,2009-11-30,2009-05-04,2009-04-04,1000000,13070.68,EAST
PT002,WholeLife,Whole life insurance policy,10052,WholeLife Policy 10052,26,7500,Annual,2007-06-28,2012-06-26,2008-01-24,2007-12-25,400000,3951.52,EAST
PT004,Health,Health insurance policy,10053,Health Policy 10053,27,20000,Quarterly,2011-03-15,2013-03-14,2012-06-11,2012-05-12,800000,14781.67,EAST
PT002,WholeLife,Whole life insurance policy,10054,WholeLife Policy 10054,28,25000,Quarterly,2006-08-30,2008-08-29,2007-05-12,2007-04-12,200000,11800.33,WEST
PT001,Auto,Auto insurance policy,10055,Auto Policy 10055,28,7500,Quarterly,2010-10-17,2012-10-16,2011-01-20,2010-12-21,500000,4081.54,WEST
PT005,Home,Home insurance policy,10056,Home Policy 10056,29,20000,Monthly,2013-10-22,2014-10-22,2014-02-14,2014-01-15,500000,6014.22,EAST
PT002,WholeLife,Whole life insurance policy,10057,WholeLife Policy 10057,30,5000,Annual,2018-10-09,2023-10-08,2019-12-09,2019-11-09,500000,1906.49,SOUTH
PT001,Auto,Auto insurance policy,10058,Auto Policy 10058,30,15000,Monthly,2006-08-21,2007-08-21,2007-02-25,2007-01-26,800000,11160.99,SOUTH
PT004,Health,Health insurance policy,10059,Health Policy 10059,31,20000,Annual,2008-05-04,2013-05-03,2008-07-22,2008-06-22,200000,13304.48,SOUTH
PT002,WholeLife,Whole life insurance policy,10060,WholeLife Policy 10060,32,12500,Quarterly,2020-09-13,2022-09-13,2020-11-13,2020-10-14,600000,7009.6,EAST
PT004,Health,Health insurance policy,10061,Health Policy 10061,32,12500,Quarterly,2015-09-22,2017-09-21,2016-11-27,2016-10-28,1000000,9333.2,EAST
PT005,Home,Home insurance policy,10062,Home Policy 10062,33,12500,Monthly,2010-01-25,2011-01-25,2011-05-18,2011-04-18,800000,9323.51,WEST
PT005,Home,Home insurance policy,10063,Home Policy 10063,34,10000,Quarterly,2017-01-03,2019-01-03,2017-08-06,2017-07-07,800000,4804.3,SOUTH
PT001,Auto,Auto insurance policy,10064,Auto Policy 10064,35,25000,Annual,2013-03-12,2018-03-11,2013-06-21,2013-05-22,400000,19720.68,NORTH
PT003,Term,Term life insurance policy,10065,Term Policy 10065,35,7500,Monthly,2019-07-13,2020-07-12,2019-10-01,2019-09-01,600000,6579.44,NORTH
PT002,WholeLife,Whole life insurance policy,10066,WholeLife Policy 10066,35,12500,Annual,2011-09-15,2016-09-13,2012-10-01,2012-09-01,200000,8527.37,NORTH
PT001,Auto,Auto insurance policy,10067,Auto Policy 10067,36,20000,Quarterly,2019-03-12,2021-03-11,2019-07-21,2019-06-21,300000,4499.78,SOUTH
PT001,Auto,Auto insurance policy,10068,Auto Policy 10068,36,12500,Monthly,2018-04-20,2019-04-20,2018-07-21,2018-06-21,500000,9436.47,SOUTH
PT003,Term,Term life insurance policy,10069,Term Policy 10069,37,25000,Annual,2016-03-17,2021-03-16,2017-01-01,2016-12-02,1000000,21915.05,NORTH
PT001,Auto,Auto insurance policy,10070,Auto Policy 10070,37,5000,Quarterly,2005-10-31,2007-10-31,2007-02-06,2007-01-07,400000,3523.54,NORTH
PT004,Health,Health insurance policy,10071,Health Policy 10071,37,25000,Monthly,2007-08-27,2008-08-26,2008-10-01,2008-09-01,800000,14154.59,NORTH
PT005,Home,Home insurance policy,10072,Home Policy 10072,38,15000,Annual,2008-05-05,2013-05-04,2008-08-09,2008-07-10,300000,3387.22,NORTH
PT002,WholeLife,Whole life insurance policy,10073,WholeLife Policy 10073,38,5000,Annual,2015-12-20,2020-12-18,2017-05-27,2017-04-27,500000,4213.07,NORTH
PT001,Auto,Auto insurance policy,10074,Auto Policy 10074,38,20000,Annual,2010-06-12,2015-06-11,2010-08-18,2010-07-19,300000,6411.49,NORTH
PT003,Term,Term life insurance policy,10075,Term Policy 10075,39,15000,Quarterly,2007-03-09,2009-03-08,2008-07-08,2008-06-08,300000,9205.95,WEST
PT001,Auto,Auto insurance policy,10076,Auto Policy 10076,40,25000,Annual,2016-02-25,2021-02-23,2016-08-15,2016-07-16,600000,6104.43,NORTH
PT004,Health,Health insurance policy,10077,Health Policy 10077,41,20000,Annual,2012-07-26,2017-07-25,2013-03-09,2013-02-07,500000,5691.23,SOUTH
PT005,Home,Home insurance policy,10078,Home Policy 10078,42,10000,Monthly,2017-03-30,2018-03-30,2018-07-09,2018-06-09,1000000,3492.62,WEST
PT001,Auto,Auto insurance policy,10079,Auto Policy 10079,42,10000,Monthly,2018-04-21,2019-04-21,2018-08-20,2018-07-21,200000,3917.25,WEST
PT004,Health,Health insurance policy,10080,Health Policy 10080,42,10000,Annual,2008-10-08,2013-10-07,2009-03-01,2009-01-30,600000,5070.63,WEST
PT001,Auto,Auto insurance policy,10081,Auto Policy 10081,43,25000,Monthly,2007-12-29,2008-12-28,2009-01-15,2008-12-16,1000000,15717.73,WEST
PT002,WholeLife,Whole life insurance policy,10082,WholeLife Policy 10082,43,5000,Quarterly,2005-05-09,2007-05-09,2005-07-11,2005-06-11,200000,1627.94,WEST
PT001,Auto,Auto insurance policy,10083,Auto Policy 10083,43,15000,Annual,2020-11-07,2025-11-06,2021-08-07,2021-07-08,400000,10281.79,WEST
PT002,WholeLife,Whole life insurance policy,10084,WholeLife Policy 10084,44,20000,Monthly,2009-08-16,2010-08-16,2010-07-09,2010-06-09,400000,10305.87,NORTH
PT002,WholeLife,Whole life insurance policy,10085,WholeLife Policy 10085,44,20000,Annual,2008-11-30,2013-11-29,2009-11-30,2009-10-31,200000,6520.01,NORTH
PT005,Home,Home insurance policy,10086,Home Policy 10086,45,25000,Annual,2006-12-23,2011-12-22,2007-07-25,2007-06-25,1000000,11087.44,NORTH
PT001,Auto,Auto insurance policy,10087,Auto Policy 10087,45,7500,Monthly,2017-07-05,2018-07-05,2018-06-01,2018-05-02,200000,6628.16,NORTH
PT003,Term,Term life insurance policy,10088,Term Policy 10088,46,7500,Annual,2017-02-08,2022-02-07,2018-05-08,2018-04-08,500000,4788.94,EAST
PT002,WholeLife,Whole life insurance policy,10089,WholeLife Policy 10089,46,7500,Monthly,2011-03-15,2012-03-14,2012-06-24,2012-05-25,200000,2283.39,EAST
PT004,Health,Health insurance policy,10090,Health Policy 10090,46,7500,Monthly,2016-02-28,2017-02-27,2016-05-20,2016-04-20,800000,1783.64,EAST
PT003,Term,Term life insurance policy,10091,Term Policy 10091,47,10000,Quarterly,2009-09-13,2011-09-13,2010-09-23,2010-08-24,400000,7636.08,SOUTH
PT004,Health,Health insurance policy,10092,Health Policy 10092,47,20000,Monthly,2005-12-21,2006-12-21,2006-11-21,2006-10-22,200000,6462.43,SOUTH
PT004,Health,Health insurance policy,10093,Health Policy 10093,48,5000,Monthly,2016-07-20,2017-07-20,2017-09-22,2017-08-23,300000,2556.87,WEST
PT003,Term,Term life insurance policy,10094,Term Policy 10094,49,20000,Monthly,2014-05-26,2015-05-26,2015-10-27,2015-09-27,800000,8559.59,NORTH
PT001,Auto,Auto insurance policy,10095,Auto Policy 10095,49,5000,Monthly,2012-04-25,2013-04-25,2013-07-06,2013-06-06,300000,2444.08,NORTH
PT002,WholeLife,Whole life insurance policy,10096,WholeLife Policy 10096,49,5000,Monthly,2013-06-04,2014-06-04,2014-05-29,2014-04-29,500000,2695.43,NORTH
PT002,WholeLife,Whole life insurance policy,10097,WholeLife Policy 10097,50,12500,Annual,2009-11-06,2014-11-05,2010-07-22,2010-06-22,300000,5767.99,WEST
PT004,Health,Health insurance policy,10098,Health Policy 10098,50,10000,Annual,2009-05-10,2014-05-09,2009-10-20,2009-09-20,400000,4351.24,WEST
PT005,Home,Home insurance policy,10099,Home Policy 10099,51,7500,Quarterly,2006-05-04,2008-05-03,2007-09-12,2007-08-13,200000,3944.06,SOUTH
PT002,WholeLife,Whole life insurance policy,10100,WholeLife Policy 10100,52,10000,Monthly,2012-09-15,2013-09-15,2013-02-02,2013-01-03,600000,7526.83,SOUTH
PT005,Home,Home insurance policy,10101,Home Policy 10101,52,15000,Annual,2008-10-24,2013-10-23,2009-04-19,2009-03-20,1000000,3907.98,SOUTH
PT004,Health,Health insurance policy,10102,Health Policy 10102,53,12500,Annual,2009-11-09,2014-11-08,2010-09-01,2010-08-02,1000000,4942.75,NORTH
PT004,Health,Health insurance policy,10103,Health Policy 10103,53,10000,Monthly,2010-07-14,2011-07-14,2011-07-05,2011-06-05,500000,3556.85,NORTH
PT005,Home,Home insurance policy,10104,Home Policy 10104,53,5000,Annual,2008-05-05,2013-05-04,2008-07-26,2008-06-26,500000,1140.21,NORTH
PT005,Home,Home insurance policy,10105,Home Policy 10105,54,15000,Quarterly,2005-10-03,2007-10-03,2006-08-04,2006-07-05,500000,11502.02,NORTH
PT001,Auto,Auto insurance policy,10106,Auto Policy 10106,54,7500,Quarterly,2015-02-24,2017-02-23,2016-02-04,2016-01-05,200000,5453.66,NORTH
PT004,Health,Health insurance policy,10107,Health Policy 10107,55,10000,Monthly,2009-11-21,2010-11-21,2010-05-22,2010-04-22,400000,6533.48,NORTH
PT001,Auto,Auto insurance policy,10108,Auto Policy 10108,55,20000,Quarterly,2005-05-11,2007-05-11,2005-09-30,2005-08-31,400000,13846.26,NORTH
PT005,Home,Home insurance policy,10109,Home Policy 10109,55,12500,Monthly,2018-02-03,2019-02-03,2019-05-04,2019-04-04,500000,3712.96,NORTH
PT004,Health,Health insurance policy,10110,Health Policy 10110,56,20000,Quarterly,2009-02-24,2011-02-24,2010-04-20,2010-03-21,500000,12867.63,SOUTH
PT001,Auto,Auto insurance policy,10111,Auto Policy 10111,56,10000,Annual,2013-08-19,2018-08-18,2013-11-03,2013-10-04,600000,4076.13,SOUTH
PT003,Term,Term life insurance policy,10112,Term Policy 10112,56,15000,Annual,2020-08-28,2025-08-27,2021-12-07,2021-11-07,600000,5175.04,SOUTH
PT001,Auto,Auto insurance policy,10113,Auto Policy 10113,57,20000,Quarterly,2018-12-01,2020-11-30,2019-10-20,2019-09-20,200000,17234.51,NORTH
PT003,Term,Term life insurance policy,10114,Term Policy 10114,57,12500,Monthly,2006-02-27,2007-02-27,2006-12-22,2006-11-22,400000,7917.42,NORTH
PT003,Term,Term life insurance policy,10115,Term Policy 10115,57,20000,Monthly,2013-03-21,2014-03-21,2014-05-15,2014-04-15,600000,4938.08,NORTH
PT002,WholeLife,Whole life insurance policy,10116,WholeLife Policy 10116,58,7500,Quarterly,2008-02-08,2010-02-07,2008-06-05,2008-05-06,600000,4907.45,WEST
PT005,Home,Home insurance policy,10117,Home Policy 10117,58,25000,Monthly,2020-10-06,2021-10-06,2021-12-29,2021-11-29,800000,8945.15,WEST
PT003,Term,Term life insurance policy,10118,Term Policy 10118,58,20000,Annual,2010-12-31,2015-12-30,2011-07-20,2011-06-20,500000,4762.44,WEST
PT003,Term,Term life insurance policy,10119,Term Policy 10119,59,15000,Quarterly,2015-02-24,2017-02-23,2016-06-22,2016-05-23,600000,4288.45,SOUTH
PT005,Home,Home insurance policy,10120,Home Policy 10120,59,10000,Annual,2020-03-19,2025-03-18,2021-03-31,2021-03-01,500000,4577.02,SOUTH
PT001,Auto,Auto insurance policy,10121,Auto Policy 10121,60,5000,Quarterly,2009-03-23,2011-03-23,2009-12-08,2009-11-08,200000,4142.81,WEST
PT003,Term,Term life insurance policy,10122,Term Policy 10122,60,7500,Monthly,2006-09-23,2007-09-23,2007-01-18,2006-12-19,400000,5159.68,WEST
PT004,Health,Health insurance policy,10123,Health Policy 10123,60,15000,Monthly,2008-05-17,2009-05-17,2008-07-27,2008-06-27,800000,6078.28,WEST
PT005,Home,Home insurance policy,10124,Home Policy 10124,61,10000,Quarterly,2007-12-18,2009-12-17,2008-09-30,2008-08-31,500000,7163.96,EAST
PT001,Auto,Auto insurance policy,10125,Auto Policy 10125,61,5000,Monthly,2011-07-17,2012-07-16,2012-12-04,2012-11-04,200000,3806.96,EAST
PT005,Home,Home insurance policy,10126,Home Policy 10126,61,12500,Quarterly,2019-06-18,2021-06-17,2020-02-08,2020-01-09,600000,8237.9,EAST
PT004,Health,Health insurance policy,10127,Health Policy 10127,62,20000,Annual,2018-04-23,2023-04-22,2019-08-27,2019-07-28,600000,11678.56,SOUTH
PT004,Health,Health insurance policy,10128,Health Policy 10128,62,7500,Annual,2011-10-28,2016-10-26,2012-05-31,2012-05-01,1000000,2401.62,SOUTH
PT002,WholeLife,Whole life insurance policy,10129,WholeLife Policy 10129,63,10000,Quarterly,2015-11-11,2017-11-10,2017-03-17,2017-02-15,1000000,2331.23,SOUTH
PT003,Term,Term life insurance policy,10130,Term Policy 10130,63,7500,Quarterly,2011-05-19,2013-05-18,2011-10-08,2011-09-08,600000,5237.01,SOUTH
PT002,WholeLife,Whole life insurance policy,10131,WholeLife Policy 10131,64,20000,Annual,2008-12-07,2013-12-06,2010-03-18,2010-02-16,800000,6148.79,EAST
PT002,WholeLife,Whole life insurance policy,10132,WholeLife Policy 10132,64,10000,Monthly,2007-08-16,2008-08-15,2007-12-18,2007-11-18,600000,5086.22,EAST
PT002,WholeLife,Whole life insurance policy,10133,WholeLife Policy 10133,65,20000,Annual,2009-08-08,2014-08-07,2010-09-12,2010-08-13,200000,8437.21,WEST
PT003,Term,Term life insurance policy,10134,Term Policy 10134,65,12500,Quarterly,2008-04-26,2010-04-26,2008-09-16,2008-08-17,600000,7169.38,WEST
PT001,Auto,Auto insurance policy,10135,Auto Policy 10135,66,25000,Quarterly,2014-01-28,2016-01-28,2014-11-18,2014-10-19,300000,21236.7,SOUTH
PT001,Auto,Auto insurance policy,10136,Auto Policy 10136,67,10000,Annual,2017-04-02,2022-04-01,2018-05-28,2018-04-28,800000,4068.9,EAST
PT005,Home,Home insurance policy,10137,Home Policy 10137,68,25000,Monthly,2019-12-17,2020-12-16,2021-02-22,2021-01-23,600000,20870.41,SOUTH
PT004,Health,Health insurance policy,10138,Health Policy 10138,68,5000,Annual,2012-08-06,2017-08-05,2013-06-07,2013-05-08,800000,4150.61,SOUTH
PT005,Home,Home insurance policy,10139,Home Policy 10139,69,5000,Quarterly,2007-08-16,2009-08-15,2008-08-26,2008-07-27,500000,3943.07,SOUTH
PT003,Term,Term life insurance policy,10140,Term Policy 10140,70,5000,Quarterly,2007-01-28,2009-01-27,2008-02-20,2008-01-21,600000,1683.02,SOUTH
PT005,Home,Home insurance policy,10141,Home Policy 10141,70,7500,Quarterly,2009-12-25,2011-12-25,2010-04-06,2010-03-07,200000,4326.66,SOUTH
PT001,Auto,Auto insurance policy,10142,Auto Policy 10142,71,7500,Quarterly,2016-06-24,2018-06-24,2017-02-01,2017-01-02,500000,4666.65,WEST
PT005,Home,Home insurance policy,10143,Home Policy 10143,71,10000,Annual,2006-04-05,2011-04-04,2006-08-18,2006-07-19,500000,7011.75,WEST
PT003,Term,Term life insurance policy,10144,Term Policy 10144,72,5000,Quarterly,2013-08-30,2015-08-30,2014-04-23,2014-03-24,400000,2229.74,SOUTH
PT004,Health,Health insurance policy,10145,Health Policy 10145,72,7500,Monthly,2017-08-01,2018-08-01,2018-12-28,2018-11-28,800000,3832.16,SOUTH
PT004,Health,Health insurance policy,10146,Health Policy 10146,73,25000,Monthly,2011-06-23,2012-06-22,2012-11-23,2012-10-24,800000,12417.06,NORTH
PT004,Health,Health insurance policy,10147,Health Policy 10147,73,15000,Annual,2008-02-18,2013-02-16,2008-06-30,2008-05-31,200000,5181.73,NORTH
PT005,Home,Home insurance policy,10148,Home Policy 10148,74,15000,Monthly,2012-07-10,2013-07-10,2013-03-19,2013-02-17,1000000,3928.71,WEST
PT004,Health,Health insurance policy,10149,Health Policy 10149,74,12500,Quarterly,2019-05-01,2021-04-30,2020-04-09,2020-03-10,300000,6543.55,WEST
PT002,WholeLife,Whole life insurance policy,10150,WholeLife Policy 10150,75,25000,Monthly,2009-06-21,2010-06-21,2010-01-15,2009-12-16,500000,14692.67,NORTH
PT001,Auto,Auto insurance policy,10151,Auto Policy 10151,75,10000,Annual,2011-10-10,2016-10-08,2012-09-20,2012-08-21,500000,7178.99,NORTH
PT002,WholeLife,Whole life insurance policy,10152,WholeLife Policy 10152,75,7500,Monthly,2005-08-08,2006-08-08,2006-03-09,2006-02-07,400000,6519.14,NORTH
PT004,Health,Health insurance policy,10153,Health Policy 10153,76,20000,Annual,2007-10-15,2012-10-13,2008-07-14,2008-06-14,400000,6511.21,NORTH
PT002,WholeLife,Whole life insurance policy,10154,WholeLife Policy 10154,76,25000,Monthly,2005-08-22,2006-08-22,2006-06-30,2006-05-31,400000,22400.83,NORTH
PT001,Auto,Auto insurance policy,10155,Auto Policy 10155,76,10000,Annual,2018-06-08,2023-06-07,2019-04-10,2019-03-11,600000,5959.02,NORTH
PT004,Health,Health insurance policy,10156,Health Policy 10156,77,10000,Monthly,2020-07-28,2021-07-28,2021-10-06,2021-09-06,600000,6026.85,EAST
PT003,Term,Term life insurance policy,10157,Term Policy 10157,77,5000,Annual,2008-08-27,2013-08-26,2009-04-07,2009-03-08,300000,2613.65,EAST
PT002,WholeLife,Whole life insurance policy,10158,WholeLife Policy 10158,78,5000,Monthly,2013-01-06,2014-01-06,2013-09-07,2013-08-08,400000,2468.3,EAST
PT003,Term,Term life insurance policy,10159,Term Policy 10159,78,10000,Quarterly,2006-02-04,2008-02-04,2007-02-26,2007-01-27,600000,8554.22,EAST
PT005,Home,Home insurance policy,10160,Home Policy 10160,78,7500,Annual,2009-05-07,2014-05-06,2009-08-23,2009-07-24,1000000,4643.5,EAST
PT005,Home,Home insurance policy,10161,Home Policy 10161,79,25000,Quarterly,2012-03-27,2014-03-27,2013-05-11,2013-04-11,1000000,18997.85,NORTH
PT003,Term,Term life insurance policy,10162,Term Policy 10162,80,15000,Annual,2007-02-25,2012-02-24,2008-06-20,2008-05-21,400000,4509.03,SOUTH
PT002,WholeLife,Whole life insurance policy,10163,WholeLife Policy 10163,80,10000,Quarterly,2016-08-15,2018-08-15,2017-06-19,2017-05-20,1000000,4883.96,SOUTH
PT001,Auto,Auto insurance policy,10164,Auto Policy 10164,81,15000,Monthly,2009-11-20,2010-11-20,2011-03-20,2011-02-18,300000,4978.38,WEST
PT005,Home,Home insurance policy,10165,Home Policy 10165,82,25000,Annual,2020-06-20,2025-06-19,2021-08-18,2021-07-19,600000,14644.47,WEST
PT001,Auto,Auto insurance policy,10166,Auto Policy 10166,82,5000,Quarterly,2014-05-12,2016-05-11,2015-09-03,2015-08-04,200000,1459.31,WEST
PT001,Auto,Auto insurance policy,10167,Auto Policy 10167,82,10000,Quarterly,2015-10-04,2017-10-03,2016-06-05,2016-05-06,800000,2973.1,WEST
PT005,Home,Home insurance policy,10168,Home Policy 10168,83,7500,Quarterly,2016-09-25,2018-09-25,2017-04-28,2017-03-29,800000,1650.99,EAST
PT001,Auto,Auto insurance policy,10169,Auto Policy 10169,83,25000,Monthly,2009-12-27,2010-12-27,2010-05-08,2010-04-08,800000,17040.83,EAST
PT002,WholeLife,Whole life insurance policy,10170,WholeLife Policy 10170,84,5000,Monthly,2009-09-16,2010-09-16,2010-11-03,2010-10-04,500000,3670.58,SOUTH
