Transaction_SK,Policy_Id,Customer_ID,Premium_Amt,Total_Policy_Amt,Premium_Amt_Paid_TillDate,Next_Premium_Dt,Actual_Premium_Paid_Dt,Region,Is_Late,Late_Fee,Customer_SK,Policy_SK,Address_SK
79,10031,17,5000,800000,3023.49,2018-06-21,2017-08-23,SOUTH,False,0.0,17.0,31.0,17.0
80,10031,17,5000,800000,3023.49,2018-06-21,2017-09-22,SOUTH,False,0.0,17.0,31.0,17.0
81,10032,17,10000,1000000,6370.22,2007-05-10,2006-02-27,SOUTH,False,0.0,17.0,32.0,17.0
82,10033,17,7500,600000,5970.09,2016-02-23,2015-11-16,SOUTH,False,0.0,17.0,33.0,17.0
83,10034,18,10000,400000,3798.69,2009-05-04,2007-12-22,WEST,False,0.0,18.0,34.0,18.0
84,10034,18,10000,400000,3798.69,2009-05-04,2008-01-21,WEST,False,0.0,18.0,34.0,18.0
85,10035,18,15000,800000,9921.13,2018-12-02,2018-07-18,WEST,False,0.0,18.0,35.0,18.0
86,10036,19,7500,500000,5696.7,2011-04-12,2010-11-11,SOUTH,False,0.0,19.0,36.0,19.0
87,10036,19,7500,500000,5696.7,2011-04-12,2010-12-11,SOUTH,False,0.0,19.0,36.0,19.0
88,10036,19,7500,500000,5696.7,2011-04-12,2011-01-10,SOUTH,False,0.0,19.0,36.0,19.0
89,10037,19,7500,600000,2309.29,2014-01-02,2012-09-09,SOUTH,False,0.0,19.0,37.0,19.0
90,10037,19,7500,600000,2309.29,2014-01-02,2012-10-09,SOUTH,False,0.0,19.0,37.0,19.0
91,10038,20,20000,500000,12926.05,2014-10-10,2013-08-05,EAST,False,0.0,20.0,38.0,20.0
92,10039,20,25000,400000,16239.57,2018-03-13,2017-12-16,EAST,False,0.0,20.0,39.0,20.0
93,10039,20,25000,400000,16239.57,2018-03-13,2018-01-15,EAST,False,0.0,20.0,39.0,20.0
94,10039,20,25000,400000,16239.57,2018-03-13,2018-02-14,EAST,False,0.0,20.0,39.0,20.0
95,10039,20,25000,400000,16239.57,2018-03-13,2018-03-16,EAST,True,500.0,20.0,39.0,20.0
96,10040,21,12500,500000,6667.33,2009-05-06,2008-10-04,WEST,False,0.0,21.0,40.0,21.0
97,10040,21,12500,500000,6667.33,2009-05-06,2008-11-03,WEST,False,0.0,21.0,40.0,21.0
98,10040,21,12500,500000,6667.33,2009-05-06,2008-12-03,WEST,False,0.0,21.0,40.0,21.0
99,10041,22,20000,500000,7676.75,2014-05-07,2013-07-09,SOUTH,False,0.0,22.0,41.0,22.0
100,10042,22,10000,1000000,4674.03,2015-07-18,2014-10-02,SOUTH,False,0.0,22.0,42.0,22.0
101,10042,22,10000,1000000,4674.03,2015-07-18,2014-11-01,SOUTH,False,0.0,22.0,42.0,22.0
102,10042,22,10000,1000000,4674.03,2015-07-18,2014-12-01,SOUTH,False,0.0,22.0,42.0,22.0
103,10042,22,10000,1000000,4674.03,2015-07-18,2014-12-31,SOUTH,False,0.0,22.0,42.0,22.0
104,10042,22,10000,1000000,4674.03,2015-07-18,2015-01-30,SOUTH,False,0.0,22.0,42.0,22.0
105,10043,22,5000,200000,2859.53,2018-05-05,2016-11-22,SOUTH,False,0.0,22.0,43.0,22.0
106,10043,22,5000,200000,2859.53,2018-05-05,2016-12-22,SOUTH,False,0.0,22.0,43.0,22.0
107,10043,22,5000,200000,2859.53,2018-05-05,2017-01-21,SOUTH,False,0.0,22.0,43.0,22.0
108,10043,22,5000,200000,2859.53,2018-05-05,2017-02-20,SOUTH,False,0.0,22.0,43.0,22.0
109,10043,22,5000,200000,2859.53,2018-05-05,2017-03-22,SOUTH,False,0.0,22.0,43.0,22.0
110,10044,23,25000,400000,9730.71,2019-04-30,2018-09-11,WEST,False,0.0,23.0,44.0,23.0
111,10044,23,25000,400000,9730.71,2019-04-30,2018-10-11,WEST,False,0.0,23.0,44.0,23.0
112,10044,23,25000,400000,9730.71,2019-04-30,2018-11-10,WEST,False,0.0,23.0,44.0,23.0
113,10044,23,25000,400000,9730.71,2019-04-30,2018-12-10,WEST,False,0.0,23.0,44.0,23.0
114,10045,23,15000,500000,11118.09,2011-07-16,2010-09-23,WEST,False,0.0,23.0,45.0,23.0
115,10045,23,15000,500000,11118.09,2011-07-16,2010-10-23,WEST,False,0.0,23.0,45.0,23.0
116,10045,23,15000,500000,11118.09,2011-07-16,2010-11-22,WEST,False,0.0,23.0,45.0,23.0
117,10045,23,15000,500000,11118.09,2011-07-16,2010-12-22,WEST,False,0.0,23.0,45.0,23.0
118,10045,23,15000,500000,11118.09,2011-07-16,2011-01-21,WEST,False,0.0,23.0,45.0,23.0
119,10046,24,25000,300000,10904.62,2020-12-18,2020-01-27,EAST,False,0.0,24.0,46.0,24.0
120,10047,24,5000,800000,3910.91,2012-03-15,2012-01-11,EAST,False,0.0,24.0,47.0,24.0
121,10047,24,5000,800000,3910.91,2012-03-15,2012-02-10,EAST,False,0.0,24.0,47.0,24.0
122,10047,24,5000,800000,3910.91,2012-03-15,2012-03-11,EAST,False,0.0,24.0,47.0,24.0
123,10047,24,5000,800000,3910.91,2012-03-15,2012-04-10,EAST,True,100.0,24.0,47.0,24.0
124,10048,24,15000,200000,7682.39,2015-05-07,2014-03-23,EAST,False,0.0,24.0,48.0,24.0
125,10048,24,15000,200000,7682.39,2015-05-07,2014-04-22,EAST,False,0.0,24.0,48.0,24.0
126,10048,24,15000,200000,7682.39,2015-05-07,2014-05-22,EAST,False,0.0,24.0,48.0,24.0
127,10048,24,15000,200000,7682.39,2015-05-07,2014-06-21,EAST,False,0.0,24.0,48.0,24.0
128,10048,24,15000,200000,7682.39,2015-05-07,2014-07-21,EAST,False,0.0,24.0,48.0,24.0
129,10049,25,5000,200000,1321.79,2011-09-07,2010-08-26,WEST,False,0.0,25.0,49.0,25.0
130,10049,25,5000,200000,1321.79,2011-09-07,2010-09-25,WEST,False,0.0,25.0,49.0,25.0
131,10049,25,5000,200000,1321.79,2011-09-07,2010-10-25,WEST,False,0.0,25.0,49.0,25.0
132,10050,26,5000,800000,1302.35,2018-10-11,2018-06-12,EAST,False,0.0,26.0,50.0,26.0
133,10051,26,20000,1000000,13070.68,2009-05-04,2007-12-01,EAST,False,0.0,26.0,51.0,26.0
134,10051,26,20000,1000000,13070.68,2009-05-04,2007-12-31,EAST,False,0.0,26.0,51.0,26.0
135,10051,26,20000,1000000,13070.68,2009-05-04,2008-01-30,EAST,False,0.0,26.0,51.0,26.0
136,10052,26,7500,400000,3951.52,2008-01-24,2007-06-28,EAST,False,0.0,26.0,52.0,26.0
137,10053,27,20000,800000,14781.67,2012-06-11,2011-03-15,EAST,False,0.0,27.0,53.0,27.0
138,10053,27,20000,800000,14781.67,2012-06-11,2011-04-14,EAST,False,0.0,27.0,53.0,27.0
139,10053,27,20000,800000,14781.67,2012-06-11,2011-05-14,EAST,False,0.0,27.0,53.0,27.0
140,10054,28,25000,200000,11800.33,2007-05-12,2006-08-30,WEST,False,0.0,28.0,54.0,28.0
141,10054,28,25000,200000,11800.33,2007-05-12,2006-09-29,WEST,False,0.0,28.0,54.0,28.0
142,10055,28,7500,500000,4081.54,2011-01-20,2010-10-17,WEST,False,0.0,28.0,55.0,28.0
143,10055,28,7500,500000,4081.54,2011-01-20,2010-11-16,WEST,False,0.0,28.0,55.0,28.0
144,10055,28,7500,500000,4081.54,2011-01-20,2010-12-16,WEST,False,0.0,28.0,55.0,28.0
145,10055,28,7500,500000,4081.54,2011-01-20,2011-01-15,WEST,False,0.0,28.0,55.0,28.0
146,10056,29,20000,500000,6014.22,2014-02-14,2013-10-22,EAST,False,0.0,29.0,56.0,29.0
147,10056,29,20000,500000,6014.22,2014-02-14,2013-11-21,EAST,False,0.0,29.0,56.0,29.0
148,10057,30,5000,500000,1906.49,2019-12-09,2018-10-09,SOUTH,False,0.0,30.0,57.0,30.0
149,10057,30,5000,500000,1906.49,2019-12-09,2018-11-08,SOUTH,False,0.0,30.0,57.0,30.0
150,10057,30,5000,500000,1906.49,2019-12-09,2018-12-08,SOUTH,False,0.0,30.0,57.0,30.0
151,10057,30,5000,500000,1906.49,2019-12-09,2019-01-07,SOUTH,False,0.0,30.0,57.0,30.0
152,10057,30,5000,500000,1906.49,2019-12-09,2019-02-06,SOUTH,False,0.0,30.0,57.0,30.0
153,10058,30,15000,800000,11160.99,2007-02-25,2006-08-21,SOUTH,False,0.0,30.0,58.0,30.0
154,10058,30,15000,800000,11160.99,2007-02-25,2006-09-20,SOUTH,False,0.0,30.0,58.0,30.0
155,10058,30,15000,800000,11160.99,2007-02-25,2006-10-20,SOUTH,False,0.0,30.0,58.0,30.0
156,10059,31,20000,200000,13304.48,2008-07-22,2008-05-04,SOUTH,False,0.0,31.0,59.0,31.0
157,10060,32,12500,600000,7009.6,2020-11-13,2020-09-13,EAST,False,0.0,32.0,60.0,32.0
158,10060,32,12500,600000,7009.6,2020-11-13,2020-10-13,EAST,False,0.0,32.0,60.0,32.0
159,10060,32,12500,600000,7009.6,2020-11-13,2020-11-12,EAST,False,0.0,32.0,60.0,32.0
160,10060,32,12500,600000,7009.6,2020-11-13,2020-12-12,EAST,True,250.0,32.0,60.0,32.0
161,10060,32,12500,600000,7009.6,2020-11-13,2021-01-11,EAST,True,250.0,32.0,60.0,32.0
162,10061,32,12500,1000000,9333.2,2016-11-27,2015-09-22,EAST,False,0.0,32.0,61.0,32.0
163,10062,33,12500,800000,9323.51,2011-05-18,2010-01-25,WEST,False,0.0,33.0,62.0,33.0
164,10063,34,10000,800000,4804.3,2017-08-06,2017-01-03,SOUTH,False,0.0,34.0,63.0,34.0
165,10063,34,10000,800000,4804.3,2017-08-06,2017-02-02,SOUTH,False,0.0,34.0,63.0,34.0
166,10064,35,25000,400000,19720.68,2013-06-21,2013-03-12,NORTH,False,0.0,35.0,64.0,35.0
167,10064,35,25000,400000,19720.68,2013-06-21,2013-04-11,NORTH,False,0.0,35.0,64.0,35.0
168,10065,35,7500,600000,6579.44,2019-10-01,2019-07-13,NORTH,False,0.0,35.0,65.0,35.0
169,10065,35,7500,600000,6579.44,2019-10-01,2019-08-12,NORTH,False,0.0,35.0,65.0,35.0
170,10065,35,7500,600000,6579.44,2019-10-01,2019-09-11,NORTH,False,0.0,35.0,65.0,35.0
171,10066,35,12500,200000,8527.37,2012-10-01,2011-09-15,NORTH,False,0.0,35.0,66.0,35.0
172,10066,35,12500,200000,8527.37,2012-10-01,2011-10-15,NORTH,False,0.0,35.0,66.0,35.0
173,10067,36,20000,300000,4499.78,2019-07-21,2019-03-12,SOUTH,False,0.0,36.0,67.0,36.0
174,10067,36,20000,300000,4499.78,2019-07-21,2019-04-11,SOUTH,False,0.0,36.0,67.0,36.0
175,10067,36,20000,300000,4499.78,2019-07-21,2019-05-11,SOUTH,False,0.0,36.0,67.0,36.0
176,10067,36,20000,300000,4499.78,2019-07-21,2019-06-10,SOUTH,False,0.0,36.0,67.0,36.0
177,10067,36,20000,300000,4499.78,2019-07-21,2019-07-10,SOUTH,False,0.0,36.0,67.0,36.0
178,10068,36,12500,500000,9436.47,2018-07-21,2018-04-20,SOUTH,False,0.0,36.0,68.0,36.0
179,10068,36,12500,500000,9436.47,2018-07-21,2018-05-20,SOUTH,False,0.0,36.0,68.0,36.0
180,10068,36,12500,500000,9436.47,2018-07-21,2018-06-19,SOUTH,False,0.0,36.0,68.0,36.0
181,10068,36,12500,500000,9436.47,2018-07-21,2018-07-19,SOUTH,False,0.0,36.0,68.0,36.0
182,10068,36,12500,500000,9436.47,2018-07-21,2018-08-18,SOUTH,True,250.0,36.0,68.0,36.0
183,10069,37,25000,1000000,21915.05,2017-01-01,2016-03-17,NORTH,False,0.0,37.0,69.0,37.0
184,10069,37,25000,1000000,21915.05,2017-01-01,2016-04-16,NORTH,False,0.0,37.0,69.0,37.0
185,10070,37,5000,400000,3523.54,2007-02-06,2005-10-31,NORTH,False,0.0,37.0,70.0,37.0
186,10070,37,5000,400000,3523.54,2007-02-06,2005-11-30,NORTH,False,0.0,37.0,70.0,37.0
187,10070,37,5000,400000,3523.54,2007-02-06,2005-12-30,NORTH,False,0.0,37.0,70.0,37.0
188,10070,37,5000,400000,3523.54,2007-02-06,2006-01-29,NORTH,False,0.0,37.0,70.0,37.0
189,10071,37,25000,800000,14154.59,2008-10-01,2007-08-27,NORTH,False,0.0,37.0,71.0,37.0
190,10071,37,25000,800000,14154.59,2008-10-01,2007-09-26,NORTH,False,0.0,37.0,71.0,37.0
191,10071,37,25000,800000,14154.59,2008-10-01,2007-10-26,NORTH,False,0.0,37.0,71.0,37.0
192,10072,38,15000,300000,3387.22,2008-08-09,2008-05-05,NORTH,False,0.0,38.0,72.0,38.0
193,10073,38,5000,500000,4213.07,2017-05-27,2015-12-20,NORTH,False,0.0,38.0,73.0,38.0
194,10073,38,5000,500000,4213.07,2017-05-27,2016-01-19,NORTH,False,0.0,38.0,73.0,38.0
195,10073,38,5000,500000,4213.07,2017-05-27,2016-02-18,NORTH,False,0.0,38.0,73.0,38.0
196,10074,38,20000,300000,6411.49,2010-08-18,2010-06-12,NORTH,False,0.0,38.0,74.0,38.0
197,10074,38,20000,300000,6411.49,2010-08-18,2010-07-12,NORTH,False,0.0,38.0,74.0,38.0
198,10074,38,20000,300000,6411.49,2010-08-18,2010-08-11,NORTH,False,0.0,38.0,74.0,38.0
199,10074,38,20000,300000,6411.49,2010-08-18,2010-09-10,NORTH,True,400.0,38.0,74.0,38.0
200,10075,39,15000,300000,9205.95,2008-07-08,2007-03-09,WEST,False,0.0,39.0,75.0,39.0
201,10075,39,15000,300000,9205.95,2008-07-08,2007-04-08,WEST,False,0.0,39.0,75.0,39.0
202,10075,39,15000,300000,9205.95,2008-07-08,2007-05-08,WEST,False,0.0,39.0,75.0,39.0
203,10075,39,15000,300000,9205.95,2008-07-08,2007-06-07,WEST,False,0.0,39.0,75.0,39.0
204,10076,40,25000,600000,6104.43,2016-08-15,2016-02-25,NORTH,False,0.0,40.0,76.0,40.0
205,10077,41,20000,500000,5691.23,2013-03-09,2012-07-26,SOUTH,False,0.0,41.0,77.0,41.0
206,10077,41,20000,500000,5691.23,2013-03-09,2012-08-25,SOUTH,False,0.0,41.0,77.0,41.0
207,10077,41,20000,500000,5691.23,2013-03-09,2012-09-24,SOUTH,False,0.0,41.0,77.0,41.0
208,10077,41,20000,500000,5691.23,2013-03-09,2012-10-24,SOUTH,False,0.0,41.0,77.0,41.0
209,10077,41,20000,500000,5691.23,2013-03-09,2012-11-23,SOUTH,False,0.0,41.0,77.0,41.0
210,10078,42,10000,1000000,3492.62,2018-07-09,2017-03-30,WEST,False,0.0,42.0,78.0,42.0
211,10078,42,10000,1000000,3492.62,2018-07-09,2017-04-29,WEST,False,0.0,42.0,78.0,42.0
212,10078,42,10000,1000000,3492.62,2018-07-09,2017-05-29,WEST,False,0.0,42.0,78.0,42.0
213,10078,42,10000,1000000,3492.62,2018-07-09,2017-06-28,WEST,False,0.0,42.0,78.0,42.0
214,10079,42,10000,200000,3917.25,2018-08-20,2018-04-21,WEST,False,0.0,42.0,79.0,42.0
215,10079,42,10000,200000,3917.25,2018-08-20,2018-05-21,WEST,False,0.0,42.0,79.0,42.0
216,10080,42,10000,600000,5070.63,2009-03-01,2008-10-08,WEST,False,0.0,42.0,80.0,42.0
217,10080,42,10000,600000,5070.63,2009-03-01,2008-11-07,WEST,False,0.0,42.0,80.0,42.0
218,10081,43,25000,1000000,15717.73,2009-01-15,2007-12-29,WEST,False,0.0,43.0,81.0,43.0
219,10081,43,25000,1000000,15717.73,2009-01-15,2008-01-28,WEST,False,0.0,43.0,81.0,43.0
220,10082,43,5000,200000,1627.94,2005-07-11,2005-05-09,WEST,False,0.0,43.0,82.0,43.0
221,10082,43,5000,200000,1627.94,2005-07-11,2005-06-08,WEST,False,0.0,43.0,82.0,43.0
222,10082,43,5000,200000,1627.94,2005-07-11,2005-07-08,WEST,False,0.0,43.0,82.0,43.0
223,10082,43,5000,200000,1627.94,2005-07-11,2005-08-07,WEST,True,100.0,43.0,82.0,43.0
224,10082,43,5000,200000,1627.94,2005-07-11,2005-09-06,WEST,True,100.0,43.0,82.0,43.0
225,10083,43,15000,400000,10281.79,2021-08-07,2020-11-07,WEST,False,0.0,43.0,83.0,43.0
226,10083,43,15000,400000,10281.79,2021-08-07,2020-12-07,WEST,False,0.0,43.0,83.0,43.0
227,10083,43,15000,400000,10281.79,2021-08-07,2021-01-06,WEST,False,0.0,43.0,83.0,43.0
228,10083,43,15000,400000,10281.79,2021-08-07,2021-02-05,WEST,False,0.0,43.0,83.0,43.0
229,10084,44,20000,400000,10305.87,2010-07-09,2009-08-16,NORTH,False,0.0,44.0,84.0,44.0
230,10084,44,20000,400000,10305.87,2010-07-09,2009-09-15,NORTH,False,0.0,44.0,84.0,44.0
231,10084,44,20000,400000,10305.87,2010-07-09,2009-10-15,NORTH,False,0.0,44.0,84.0,44.0
232,10084,44,20000,400000,10305.87,2010-07-09,2009-11-14,NORTH,False,0.0,44.0,84.0,44.0
233,10084,44,20000,400000,10305.87,2010-07-09,2009-12-14,NORTH,False,0.0,44.0,84.0,44.0
234,10085,44,20000,200000,6520.01,2009-11-30,2008-11-30,NORTH,False,0.0,44.0,85.0,44.0
235,10086,45,25000,1000000,11087.44,2007-07-25,2006-12-23,NORTH,False,0.0,45.0,86.0,45.0
236,10086,45,25000,1000000,11087.44,2007-07-25,2007-01-22,NORTH,False,0.0,45.0,86.0,45.0
237,10087,45,7500,200000,6628.16,2018-06-01,2017-07-05,NORTH,False,0.0,45.0,87.0,45.0
238,10087,45,7500,200000,6628.16,2018-06-01,2017-08-04,NORTH,False,0.0,45.0,87.0,45.0
239,10087,45,7500,200000,6628.16,2018-06-01,2017-09-03,NORTH,False,0.0,45.0,87.0,45.0
240,10087,45,7500,200000,6628.16,2018-06-01,2017-10-03,NORTH,False,0.0,45.0,87.0,45.0
241,10088,46,7500,500000,4788.94,2018-05-08,2017-02-08,EAST,False,0.0,46.0,88.0,46.0
242,10088,46,7500,500000,4788.94,2018-05-08,2017-03-10,EAST,False,0.0,46.0,88.0,46.0
243,10088,46,7500,500000,4788.94,2018-05-08,2017-04-09,EAST,False,0.0,46.0,88.0,46.0
244,10088,46,7500,500000,4788.94,2018-05-08,2017-05-09,EAST,False,0.0,46.0,88.0,46.0
245,10088,46,7500,500000,4788.94,2018-05-08,2017-06-08,EAST,False,0.0,46.0,88.0,46.0
246,10089,46,7500,200000,2283.39,2012-06-24,2011-03-15,EAST,False,0.0,46.0,89.0,46.0
247,10089,46,7500,200000,2283.39,2012-06-24,2011-04-14,EAST,False,0.0,46.0,89.0,46.0
248,10089,46,7500,200000,2283.39,2012-06-24,2011-05-14,EAST,False,0.0,46.0,89.0,46.0
249,10089,46,7500,200000,2283.39,2012-06-24,2011-06-13,EAST,False,0.0,46.0,89.0,46.0
250,10090,46,7500,800000,1783.64,2016-05-20,2016-02-28,EAST,False,0.0,46.0,90.0,46.0
